no,time,speed,latitude,longitude,compass,angle_min,angle_max,angle_increment,time_increment,scan_time,range_min,range_max,range_size,countless,count
0,20191203115832,0,0,0,37.86,-3.124139071,3.141592741,0.008714509,0.002720229,1.95584476,0.150000006,40,24,20,4
1,20191203115832,0,0,0,40.44,-3.124139071,3.141592741,0.008714509,0.000154431,0.111036018,0.150000006,40,24,12,12
2,20191203115832,0,0,0,40.44,-3.124139071,3.141592741,0.008714509,0.000154348,0.110976562,0.150000006,40,24,11,13
3,20191203115832,0,0,0,40.44,-3.124139071,3.141592741,0.008714509,0.000142148,0.102204673,0.150000006,40,24,15,9
4,20191203115833,0,0,0,40.44,-3.124139071,3.141592741,0.008714509,0.000136518,0.098156132,0.150000006,40,24,4,20
5,20191203115833,0,0,0,40.44,-3.124139071,3.141592741,0.008714509,0.000136144,0.097887196,0.150000006,40,24,17,7
6,20191203115833,0,0,0,42.9,-3.124139071,3.141592741,0.008714509,0.000136566,0.098191008,0.150000006,40,24,21,3
7,20191203115833,0,0,0,42.9,-3.124139071,3.141592741,0.008714509,0.000130855,0.094084486,0.150000006,40,24,22,2
8,20191203115833,0,0,0,42.9,-3.124139071,3.141592741,0.008714509,0.000136309,0.098006219,0.150000006,40,24,22,2
9,20191203115833,0,0,0,42.9,-3.124139071,3.141592741,0.008714509,0.00013638,0.098057307,0.150000006,40,24,2,22
10,20191203115833,0,0,0,42.9,-3.124139071,3.141592741,0.008714509,0.000130619,0.093915246,0.150000006,40,24,5,19
11,20191203115833,0,0,0,43.93,-3.124139071,3.141592741,0.008714509,0.00014217,0.102219969,0.150000006,40,24,1,23
12,20191203115833,0,0,0,43.93,-3.124139071,3.141592741,0.008714509,0.000136633,0.098239169,0.150000006,40,24,1,23
13,20191203115833,0,0,0,43.93,-3.124139071,3.141592741,0.008714509,0.000136518,0.098156266,0.150000006,40,24,3,21
14,20191203115834,0,0,0,43.93,-3.124139071,3.141592741,0.008714509,0.000136579,0.098200656,0.150000006,40,24,2,22
15,20191203115834,0,0,0,43.93,-3.124139071,3.141592741,0.008714509,0.000142283,0.102301307,0.150000006,40,24,1,23
16,20191203115834,0,0,0,46.8,-3.124139071,3.141592741,0.008714509,0.000136395,0.098068312,0.150000006,40,24,9,15
17,20191203115834,0,0,0,46.8,-3.124139071,3.141592741,0.008714509,0.00013655,0.098179735,0.150000006,40,24,9,15
18,20191203115834,0,0,0,46.8,-3.124139071,3.141592741,0.008714509,0.00014218,0.102227218,0.150000006,40,24,8,16
19,20191203115834,0,0,0,46.8,-3.124139071,3.141592741,0.008714509,0.000135688,0.097559623,0.150000006,40,24,12,12
20,20191203115834,0,0,0,46.8,-3.124139071,3.141592741,0.008714509,0.000136479,0.098128706,0.150000006,40,24,10,14
21,20191203115834,0,0,0,49.31,-3.124139071,3.141592741,0.008714509,0.000142183,0.102229588,0.150000006,40,24,8,16
22,20191203115834,0,0,0,49.31,-3.124139071,3.141592741,0.008714509,0.000136602,0.09821672,0.150000006,40,24,12,12
23,20191203115834,0,0,0,49.31,-3.124139071,3.141592741,0.008714509,0.000141979,0.102082826,0.150000006,40,24,11,13
24,20191203115834,0,0,0,49.31,-3.124139071,3.141592741,0.008714509,0.000136463,0.09811718,0.150000006,40,24,12,12
25,20191203115835,0,0,0,49.31,-3.124139071,3.141592741,0.008714509,0.000136362,0.098044097,0.150000006,40,24,14,10
26,20191203115835,0,0,0,52.28,-3.124139071,3.141592741,0.008714509,0.000142374,0.102366634,0.150000006,40,24,16,8
27,20191203115835,0,0,0,52.28,-3.124139071,3.141592741,0.008714509,0.000136352,0.098036788,0.150000006,40,24,17,7
28,20191203115835,0,0,0,52.28,-3.124139071,3.141592741,0.008714509,0.000136378,0.098055899,0.150000006,40,24,16,8
29,20191203115835,0,0,0,52.28,-3.124139071,3.141592741,0.008714509,0.000142528,0.102477647,0.150000006,40,24,19,5
30,20191203115835,0,0,0,52.28,-3.124139071,3.141592741,0.008714509,0.000136386,0.098061778,0.150000006,40,24,1,23
31,20191203115835,0,0,0,54.45,-3.124139071,3.141592741,0.008714509,0.000142563,0.102502711,0.150000006,40,24,1,23
32,20191203115835,0,0,0,54.45,-3.124139071,3.141592741,0.008714509,0.000136428,0.098091394,0.150000006,40,24,2,22
33,20191203115835,0,0,0,54.45,-3.124139071,3.141592741,0.008714509,0.000142495,0.102453716,0.150000006,40,24,0,24
34,20191203115836,0,0,0,54.45,-3.124139071,3.141592741,0.008714509,0.000136485,0.098132558,0.150000006,40,24,0,24
35,20191203115836,0,0,0,54.45,-3.124139071,3.141592741,0.008714509,0.000142479,0.102442473,0.150000006,40,24,0,24
36,20191203115836,0,0,0,59.38,-3.124139071,3.141592741,0.008714509,0.000136488,0.098135129,0.150000006,40,24,2,22
37,20191203115836,0,0,0,59.38,-3.124139071,3.141592741,0.008714509,0.000142408,0.102391556,0.150000006,40,24,2,22
38,20191203115836,0,0,0,59.38,-3.124139071,3.141592741,0.008714509,0.000136392,0.098065645,0.150000006,40,24,3,21
39,20191203115836,0,0,0,59.38,-3.124139071,3.141592741,0.008714509,0.000136563,0.098189041,0.150000006,40,24,20,4
40,20191203115836,0,0,0,59.38,-3.124139071,3.141592741,0.008714509,0.000142249,0.102276877,0.150000006,40,24,21,3
41,20191203115836,0,0,0,59.81,-3.124139071,3.141592741,0.008714509,0.000136253,0.097966202,0.150000006,40,24,21,3
42,20191203115836,0,0,0,59.81,-3.124139071,3.141592741,0.008714509,0.00014214,0.102198362,0.150000006,40,24,21,3
