no time angle_min angle_max angle_increment time_increment scan_time range_min range_max range_size count countless
48 20190828141725 -3.124139071 3.141592741 0.017453292 0.000221845 0.079642482 0.150000006 16.000000000 24 23 1
49 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222215 0.079775222 0.150000006 16.000000000 24 22 2
50 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222368 0.079830281 0.150000006 16.000000000 24 22 2
51 20190828141725 -3.124139071 3.141592741 0.017453292 0.000221822 0.079634033 0.150000006 16.000000000 24 22 2
52 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222200 0.079769827 0.150000006 16.000000000 24 23 1
53 20190828141725 -3.124139071 3.141592741 0.017453292 0.000221989 0.079694130 0.150000006 16.000000000 24 22 2
54 20190828141725 -3.124139071 3.141592741 0.017453292 0.000221854 0.079645716 0.150000006 16.000000000 24 22 2
55 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222323 0.079813987 0.150000006 16.000000000 24 23 1
56 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222126 0.079743117 0.150000006 16.000000000 24 23 1
57 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222137 0.079747297 0.150000006 16.000000000 24 23 1
58 20190828141725 -3.124139071 3.141592741 0.017453292 0.000222139 0.079748079 0.150000006 16.000000000 24 22 2
59 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222034 0.079710253 0.150000006 16.000000000 24 22 2
60 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222166 0.079757452 0.150000006 16.000000000 24 22 2
61 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222142 0.079749115 0.150000006 16.000000000 24 23 1
62 20190828141726 -3.124139071 3.141592741 0.017453292 0.000221995 0.079696178 0.150000006 16.000000000 24 23 1
63 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222049 0.079715513 0.150000006 16.000000000 24 23 1
64 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222092 0.079730853 0.150000006 16.000000000 24 22 2
65 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222117 0.079740033 0.150000006 16.000000000 24 23 1
66 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222044 0.079713777 0.150000006 16.000000000 24 23 1
67 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222221 0.079777226 0.150000006 16.000000000 24 22 2
68 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222097 0.079732805 0.150000006 16.000000000 24 23 1
69 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222321 0.079813264 0.150000006 16.000000000 24 23 1
70 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222010 0.079701684 0.150000006 16.000000000 24 22 2
71 20190828141726 -3.124139071 3.141592741 0.017453292 0.000222110 0.079737522 0.150000006 16.000000000 24 23 1
72 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222177 0.079761662 0.150000006 16.000000000 24 23 1
73 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222067 0.079722174 0.150000006 16.000000000 24 22 2
74 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222057 0.079718634 0.150000006 16.000000000 24 23 1
75 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222080 0.079726875 0.150000006 16.000000000 24 22 2
76 20190828141727 -3.124139071 3.141592741 0.017453292 0.000244277 0.087695345 0.150000006 16.000000000 24 22 2
77 20190828141727 -3.124139071 3.141592741 0.017453292 0.000221693 0.079587698 0.150000006 16.000000000 24 22 2
78 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222076 0.079725243 0.150000006 16.000000000 24 22 2
79 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222143 0.079749443 0.150000006 16.000000000 24 22 2
80 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222190 0.079766259 0.150000006 16.000000000 24 21 3
81 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222101 0.079734191 0.150000006 16.000000000 24 22 2
82 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222181 0.079762921 0.150000006 16.000000000 24 22 2
83 20190828141727 -3.124139071 3.141592741 0.017453292 0.000222072 0.079723805 0.150000006 16.000000000 24 22 2
84 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222153 0.079753034 0.150000006 16.000000000 24 22 2
85 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222335 0.079818204 0.150000006 16.000000000 24 21 3
86 20190828141728 -3.124139071 3.141592741 0.017453292 0.000221963 0.079684734 0.150000006 16.000000000 24 21 3
87 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222165 0.079757363 0.150000006 16.000000000 24 21 3
88 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222124 0.079742521 0.150000006 16.000000000 24 21 3
89 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222137 0.079747126 0.150000006 16.000000000 24 21 3
90 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222084 0.079728216 0.150000006 16.000000000 24 21 3
91 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222400 0.079841435 0.150000006 16.000000000 24 22 2
92 20190828141728 -3.124139071 3.141592741 0.017453292 0.000221991 0.079694629 0.150000006 16.000000000 24 21 3
93 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222128 0.079743914 0.150000006 16.000000000 24 21 3
94 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222072 0.079723984 0.150000006 16.000000000 24 22 2
95 20190828141728 -3.124139071 3.141592741 0.017453292 0.000199798 0.071727358 0.150000006 16.000000000 24 21 3
96 20190828141728 -3.124139071 3.141592741 0.017453292 0.000222132 0.079745516 0.150000006 16.000000000 24 22 2
97 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222192 0.079766877 0.150000006 16.000000000 24 21 3
98 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222199 0.079769410 0.150000006 16.000000000 24 22 2
99 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222127 0.079743750 0.150000006 16.000000000 24 22 2
100 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222146 0.079750411 0.150000006 16.000000000 24 22 2
101 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222095 0.079732008 0.150000006 16.000000000 24 22 2
102 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222096 0.079732604 0.150000006 16.000000000 24 22 2
103 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222170 0.079758853 0.150000006 16.000000000 24 22 2
104 20190828141729 -3.124139071 3.141592741 0.017453292 0.000221948 0.079679161 0.150000006 16.000000000 24 23 1
105 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222160 0.079755269 0.150000006 16.000000000 24 22 2
106 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222139 0.079747923 0.150000006 16.000000000 24 22 2
107 20190828141729 -3.124139071 3.141592741 0.017453292 0.000221956 0.079682186 0.150000006 16.000000000 24 23 1
108 20190828141729 -3.124139071 3.141592741 0.017453292 0.000222196 0.079768226 0.150000006 16.000000000 24 22 2
109 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222083 0.079727948 0.150000006 16.000000000 24 22 2
110 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222201 0.079770327 0.150000006 16.000000000 24 22 2
111 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222014 0.079703145 0.150000006 16.000000000 24 22 2
112 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222283 0.079799533 0.150000006 16.000000000 24 23 1
113 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222195 0.079767860 0.150000006 16.000000000 24 22 2
114 20190828141730 -3.124139071 3.141592741 0.017453292 0.000221868 0.079650529 0.150000006 16.000000000 24 22 2
115 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222247 0.079786725 0.150000006 16.000000000 24 22 2
116 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222201 0.079770014 0.150000006 16.000000000 24 22 2
117 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222193 0.079767160 0.150000006 16.000000000 24 21 3
118 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222019 0.079704873 0.150000006 16.000000000 24 22 2
119 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222309 0.079808958 0.150000006 16.000000000 24 22 2
120 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222195 0.079767846 0.150000006 16.000000000 24 22 2
121 20190828141730 -3.124139071 3.141592741 0.017453292 0.000222158 0.079754807 0.150000006 16.000000000 24 21 3
122 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222050 0.079715841 0.150000006 16.000000000 24 22 2
123 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222201 0.079770245 0.150000006 16.000000000 24 22 2
124 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222159 0.079755060 0.150000006 16.000000000 24 21 3
125 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222151 0.079752296 0.150000006 16.000000000 24 22 2
126 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222167 0.079757974 0.150000006 16.000000000 24 22 2
127 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222115 0.079739429 0.150000006 16.000000000 24 22 2
128 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222190 0.079766333 0.150000006 16.000000000 24 21 3
129 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222197 0.079768710 0.150000006 16.000000000 24 22 2
130 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222133 0.079745673 0.150000006 16.000000000 24 22 2
131 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222181 0.079762854 0.150000006 16.000000000 24 21 3
132 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222130 0.079744719 0.150000006 16.000000000 24 22 2
133 20190828141731 -3.124139071 3.141592741 0.017453292 0.000222198 0.079769082 0.150000006 16.000000000 24 22 2
134 20190828141732 -3.124139071 3.141592741 0.017453292 0.000221905 0.079664059 0.150000006 16.000000000 24 21 3
135 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222558 0.079898424 0.150000006 16.000000000 24 21 3
136 20190828141732 -3.124139071 3.141592741 0.017453292 0.000221989 0.079694115 0.150000006 16.000000000 24 22 2
137 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222092 0.079730853 0.150000006 16.000000000 24 22 2
138 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222119 0.079740636 0.150000006 16.000000000 24 21 3
139 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222025 0.079706922 0.150000006 16.000000000 24 21 3
140 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222281 0.079798885 0.150000006 16.000000000 24 21 3
141 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222198 0.079769164 0.150000006 16.000000000 24 22 2
142 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222198 0.079769105 0.150000006 16.000000000 24 22 2
143 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222125 0.079743035 0.150000006 16.000000000 24 21 3
144 20190828141732 -3.124139071 3.141592741 0.017453292 0.000199737 0.071705483 0.150000006 16.000000000 24 21 3
145 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222326 0.079814881 0.150000006 16.000000000 24 21 3
146 20190828141732 -3.124139071 3.141592741 0.017453292 0.000222119 0.079740860 0.150000006 16.000000000 24 21 3
147 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222203 0.079770915 0.150000006 16.000000000 24 21 3
148 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222222 0.079777814 0.150000006 16.000000000 24 21 3
149 20190828141733 -3.124139071 3.141592741 0.017453292 0.000221999 0.079697609 0.150000006 16.000000000 24 22 2
150 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222126 0.079743087 0.150000006 16.000000000 24 21 3
151 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222453 0.079860717 0.150000006 16.000000000 24 22 2
152 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222089 0.079729922 0.150000006 16.000000000 24 22 2
153 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222042 0.079712965 0.150000006 16.000000000 24 22 2
154 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222241 0.079784408 0.150000006 16.000000000 24 22 2
155 20190828141733 -3.124139071 3.141592741 0.017453292 0.000221978 0.079689927 0.150000006 16.000000000 24 22 2
156 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222295 0.079803936 0.150000006 16.000000000 24 21 3
157 20190828141733 -3.124139071 3.141592741 0.017453292 0.000222267 0.079793856 0.150000006 16.000000000 24 21 3
158 20190828141733 -3.124139071 3.141592741 0.017453292 0.000221835 0.079638943 0.150000006 16.000000000 24 21 3
159 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222301 0.079806238 0.150000006 16.000000000 24 21 3
160 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222091 0.079730742 0.150000006 16.000000000 24 21 3
161 20190828141734 -3.124139071 3.141592741 0.017453292 0.000199997 0.071798749 0.150000006 16.000000000 24 21 3
162 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222190 0.079766192 0.150000006 16.000000000 24 20 4
163 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222088 0.079729579 0.150000006 16.000000000 24 21 3
164 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222146 0.079750471 0.150000006 16.000000000 24 21 3
165 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222005 0.079699643 0.150000006 16.000000000 24 20 4
166 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222105 0.079735778 0.150000006 16.000000000 24 21 3
167 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222005 0.079699889 0.150000006 16.000000000 24 21 3
168 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222322 0.079813458 0.150000006 16.000000000 24 21 3
169 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222131 0.079745159 0.150000006 16.000000000 24 21 3
170 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222151 0.079752356 0.150000006 16.000000000 24 21 3
171 20190828141734 -3.124139071 3.141592741 0.017453292 0.000222171 0.079759516 0.150000006 16.000000000 24 20 4
172 20190828141735 -3.124139071 3.141592741 0.017453292 0.000200032 0.071811542 0.150000006 16.000000000 24 20 4
173 20190828141735 -3.124139071 3.141592741 0.017453292 0.000221934 0.079674318 0.150000006 16.000000000 24 21 3
