no time speed latitude longitude compass angle_min angle_max angle_increment time_increment scan_time range_min range_max range_size count countless
0 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.002281389 0.819018483 0.150000006 16.000000000 24 6 18
1 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000332248 0.119277082 0.150000006 16.000000000 24 6 18
2 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000310922 0.111620896 0.150000006 16.000000000 24 6 18
3 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000310373 0.111424044 0.150000006 16.000000000 24 4 20
4 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000310367 0.111421734 0.150000006 16.000000000 24 6 18
5 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000288312 0.103504084 0.150000006 16.000000000 24 2 22
6 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000266155 0.095549710 0.150000006 16.000000000 24 6 18
7 20191106152302 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000288465 0.103558928 0.150000006 16.000000000 24 3 21
8 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000266146 0.095546387 0.150000006 16.000000000 24 8 16
9 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000266536 0.095686287 0.150000006 16.000000000 24 6 18
10 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000265512 0.095318787 0.150000006 16.000000000 24 4 20
11 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000243868 0.087548532 0.150000006 16.000000000 24 5 19
12 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000243870 0.087549180 0.150000006 16.000000000 24 7 17
13 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000266690 0.095741697 0.150000006 16.000000000 24 3 21
14 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000243829 0.087534733 0.150000006 16.000000000 24 6 18
15 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000243856 0.087544285 0.150000006 16.000000000 24 5 19
16 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000244166 0.087655693 0.150000006 16.000000000 24 7 17
17 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000221771 0.079615667 0.150000006 16.000000000 24 5 19
18 20191106152303 0.00000 0.000000000 0.000000000 0.000000 -3.124139071 3.141592741 0.017453292 0.000243930 0.087570839 0.150000006 16.000000000 24 8 16
